"description","name","id","created_at","updated_at","deleted_at"
"","HEDEOMA","319","2024-09-30 14:39:31.392766+00","2024-09-30 14:39:31.392766+00",NULL
"","HELIANTHUS ANNUUS","320","2024-09-30 14:39:31.396757+00","2024-09-30 14:39:31.396757+00",NULL
"","HELLEBORUS NIGER","321","2024-09-30 14:39:31.40067+00","2024-09-30 14:39:31.40067+00",NULL
"","HELODERMA","322","2024-09-30 14:39:31.404465+00","2024-09-30 14:39:31.404465+00",NULL
"","HELONIAS DIOICA","323","2024-09-30 14:39:31.407932+00","2024-09-30 14:39:31.407932+00",NULL
"","HEPAR SULPHUR (HEPAR","324","2024-09-30 14:39:31.411484+00","2024-09-30 14:39:31.411484+00",NULL
"","HEPATICA TRILOBA","325","2024-09-30 14:39:31.415389+00","2024-09-30 14:39:31.415389+00",NULL
"","HERACLEUM","326","2024-09-30 14:39:31.419283+00","2024-09-30 14:39:31.419283+00",NULL
"","HIPPURICUM","327","2024-09-30 14:39:31.423312+00","2024-09-30 14:39:31.423312+00",NULL
"","HIPPOMANES","328","2024-09-30 14:39:31.426834+00","2024-09-30 14:39:31.426834+00",NULL
"","HIPPOZAENINUM","329","2024-09-30 14:39:31.430287+00","2024-09-30 14:39:31.430287+00",NULL
"","HOMARUS","330","2024-09-30 14:39:31.433953+00","2024-09-30 14:39:31.433953+00",NULL
"","HURA BRASILIENSIS","331","2024-09-30 14:39:31.437591+00","2024-09-30 14:39:31.437591+00",NULL
"","HYDRASTIS","332","2024-09-30 14:39:31.441133+00","2024-09-30 14:39:31.441133+00",NULL
"","HYDROCYANICUM","333","2024-09-30 14:39:31.44487+00","2024-09-30 14:39:31.44487+00",NULL
"","HYDRANGEA","334","2024-09-30 14:39:31.448391+00","2024-09-30 14:39:31.448391+00",NULL
"","HYDROCOTYLE","335","2024-09-30 14:39:31.452016+00","2024-09-30 14:39:31.452016+00",NULL
"","HYOSCYAMUS NIGER","336","2024-09-30 14:39:31.455822+00","2024-09-30 14:39:31.455822+00",NULL
"","HYPERICUM","337","2024-09-30 14:39:31.459455+00","2024-09-30 14:39:31.459455+00",NULL
"","IBERIS AMARA (IBERIS)","338","2024-09-30 14:39:31.649538+00","2024-09-30 14:39:31.649538+00",NULL
"","ICHTHYOLUM","339","2024-09-30 14:39:31.653883+00","2024-09-30 14:39:31.653883+00",NULL
"","ICTODES FOETIDA","340","2024-09-30 14:39:31.657781+00","2024-09-30 14:39:31.657781+00",NULL
"","IGNATIA AMARA","341","2024-09-30 14:39:31.661251+00","2024-09-30 14:39:31.661251+00",NULL
